the,101717
of,43438
in,37524
and,35489
a,30592
to,29862
is,23073
was,20467
it,13624
he,13147
for,11614
on,10683
that,9581
as,9512
are,9284
with,8170
by,8047
from,7635
his,7396
they,7183
this,7033
at,6450
be,5531
not,5327
an,5325
were,5188
or,5043
has,4978
also,4914
she,4460
people,4389
have,4284
there,4037
one,4013
had,3724
their,3708
first,3681
but,3596
can,3499
which,3470
her,3330
other,3186
when,3097
many,3080
after,2846
about,2725
two,2619
who,2573
more,2525
all,2501
its,2497
most,2431
some,2420
time,2347
new,2294
made,2167
been,2164
because,2017
into,2014
known,2009
only,1972
these,1957
very,1923
than,1872
may,1833
them,1809
will,1689
up,1664
him,1658
became,1627
so,1619
world,1614
would,1603
then,1561
name,1556
different,1555
over,1545
if,1491
during,1418
out,1413
city,1398
part,1387
citation,1345
between,1327
like,1310
later,1299
until,1275
do,1264
each,1250
american,1248
no,1228
three,1227
make,1206
however,1205
where,1204
did,1162
before,1146
often,1146
use,1136
year,1129
born,1115
movie,1084
same,1070
music,1069
both,1054
could,1049
work,1038
since,1034
second,1032
area,1023
being,1004
won,993
long,967
while,957
state,953
through,952
such,937
said,934
group,928
national,928
around,915
number,913
several,909
school,902
united,898
back,886
well,886
what,883
life,874
get,870
album,867
small,855
team,848
series,844
another,843
family,837
water,836
named,829
how,823
you,818
best,815
found,812
government,810
four,809
game,804
place,804
university,802
show,792
married,791
any,790
way,790
now,788
war,782
still,781
death,774
main,766
much,766
convert,765
person,757
children,755
january,754
old,751
season,751
sometimes,748
left,736
even,728
i,723
history,720
north,716
september,711
important,709
under,708
end,705
last,696
south,696
day,693
book,680
large,678
member,678
early,673
million,672
song,670
high,669
october,666
does,664
population,661
march,659
good,658
down,650
november,647
lived,643
live,636
july,634
april,632
december,631
own,629
become,628
century,624
again,618
president,616
river,616
king,608
against,606
country,606
play,601
built,592
popular,592
go,591
house,590
system,590
together,590
body,588
british,587
town,585
home,582
company,580
wrote,580
february,579
example,576
went,576
just,571
band,568
june,567
written,567
age,566
land,559
english,557
party,556
great,555
take,555
player,554
power,554
every,550
we,550
given,543
living,539
august,536
father,530
five,525
few,524
help,524
took,524
next,515
top,514
white,512
black,505
word,505
came,504
see,498
story,498
line,497
parts,494
career,493
away,492
man,492
famous,490
those,490
species,488
general,485
international,485
third,485
form,484
young,484
island,483
s,483
got,482
must,481
single,480
money,479
near,478
without,475
thought,474
common,472
public,472
based,470
held,458
put,456
should,455
west,455
east,453
army,452
change,452
air,450
club,450
men,449
son,449
lot,447
off,447
big,446
john,445
right,444
language,443
women,440
making,438
major,437
although,435
district,435
less,434
side,432
county,431
set,431
original,429
largest,428
too,422
along,420
award,418
seen,415
never,413
head,410
once,410
order,410
japan,405
modern,403
little,402
though,402
station,399
league,397
mother,397
food,395
love,395
special,395
total,394
version,393
moved,391
sea,391
move,390
short,388
french,387
building,386
red,385
late,378
light,378
done,375
six,373
due,372
include,372
lost,372
instead,370
term,370
founded,369
point,368
film,366
law,366
able,365
type,364
office,362
park,361
human,358
center,357
almost,354
find,353
local,353
church,352
come,352
level,351
sold,348
german,347
gave,346
himself,344
court,343
role,343
control,342
child,341
say,337
wife,335
battle,334
start,334
taken,333
within,333
